Namespace(algo='dqn', batch_size=32, checkpoint_freq=500000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep    29 |ep_len   31.4 |ep_rew  -0.20 |raw_ep_rew   1.07 |env_step   1000 |time 00:07 rem 482:39
iter  30000 |loss   0.01 |n_ep  1899 |ep_len   29.6 |ep_rew  -0.24 |raw_ep_rew   0.88 |env_step  60000 |time 11:15 rem 739:18
iter  30500 |loss   0.00 |n_ep  1931 |ep_len   30.4 |ep_rew  -0.22 |raw_ep_rew   0.97 |env_step  61000 |time 11:27 rem 739:58
iter  31000 |loss   0.02 |n_ep  1960 |ep_len   29.2 |ep_rew  -0.27 |raw_ep_rew   1.07 |env_step  62000 |time 11:39 rem 740:41
iter  31500 |loss   0.01 |n_ep  1990 |ep_len   39.2 |ep_rew   0.09 |raw_ep_rew   1.37 |env_step  63000 |time 11:51 rem 741:19
iter  32000 |loss   0.01 |n_ep  2024 |ep_len   36.0 |ep_rew  -0.03 |raw_ep_rew   0.98 |env_step  64000 |time 12:03 rem 742:01
iter  32500 |loss   0.00 |n_ep  2055 |ep_len   31.3 |ep_rew  -0.16 |raw_ep_rew   1.32 |env_step  65000 |time 12:15 rem 742:34
iter  33000 |loss   0.00 |n_ep  2084 |ep_len   34.6 |ep_rew  -0.10 |raw_ep_rew   1.52 |env_step  66000 |time 12:28 rem 743:07
iter  33500 |loss   0.00 |n_ep  2124 |ep_len   25.6 |ep_rew  -0.33 |raw_ep_rew   0.82 |env_step  67000 |time 12:40 rem 743:47
iter  34000 |loss   0.00 |n_ep  2157 |ep_len   27.7 |ep_rew  -0.25 |raw_ep_rew   0.79 |env_step  68000 |time 12:52 rem 744:20
iter  34500 |loss   0.00 |n_ep  2191 |ep_len   28.5 |ep_rew  -0.25 |raw_ep_rew   0.83 |env_step  69000 |time 13:04 rem 744:52
iter  35000 |loss   0.02 |n_ep  2222 |ep_len   31.7 |ep_rew  -0.14 |raw_ep_rew   1.08 |env_step  70000 |time 13:16 rem 745:23
iter  35500 |loss   0.00 |n_ep  2251 |ep_len   33.0 |ep_rew  -0.12 |raw_ep_rew   1.24 |env_step  71000 |time 13:28 rem 745:49
iter  36000 |loss   0.00 |n_ep  2284 |ep_len   30.1 |ep_rew  -0.23 |raw_ep_rew   0.98 |env_step  72000 |time 13:40 rem 746:14
iter  36500 |loss   0.00 |n_ep  2314 |ep_len   29.8 |ep_rew  -0.20 |raw_ep_rew   1.19 |env_step  73000 |time 13:52 rem 746:39
iter  37000 |loss   0.00 |n_ep  2349 |ep_len   36.5 |ep_rew  -0.08 |raw_ep_rew   0.87 |env_step  74000 |time 14:04 rem 747:08
iter  37500 |loss   0.00 |n_ep  2380 |ep_len   29.2 |ep_rew  -0.22 |raw_ep_rew   1.24 |env_step  75000 |time 14:17 rem 747:31
iter  38000 |loss   0.00 |n_ep  2409 |ep_len   39.0 |ep_rew  -0.04 |raw_ep_rew   1.15 |env_step  76000 |time 14:29 rem 747:56
iter  38500 |loss   0.00 |n_ep  2440 |ep_len   33.4 |ep_rew  -0.16 |raw_ep_rew   1.12 |env_step  77000 |time 14:41 rem 748:16
iter  39000 |loss   0.01 |n_ep  2468 |ep_len   38.4 |ep_rew  -0.02 |raw_ep_rew   1.48 |env_step  78000 |time 14:53 rem 748:36
iter  39500 |loss   0.00 |n_ep  2502 |ep_len   27.0 |ep_rew  -0.27 |raw_ep_rew   0.87 |env_step  79000 |time 15:05 rem 749:02
iter  40000 |loss   0.00 |n_ep  2535 |ep_len   34.1 |ep_rew  -0.12 |raw_ep_rew   1.03 |env_step  80000 |time 15:17 rem 749:21
iter  40500 |loss   0.00 |n_ep  2565 |ep_len   36.9 |ep_rew  -0.06 |raw_ep_rew   1.07 |env_step  81000 |time 15:29 rem 749:39
iter  41000 |loss   0.00 |n_ep  2595 |ep_len   40.5 |ep_rew  -0.03 |raw_ep_rew   1.36 |env_step  82000 |time 15:41 rem 749:58
iter  41500 |loss   0.00 |n_ep  2622 |ep_len   31.0 |ep_rew  -0.22 |raw_ep_rew   1.32 |env_step  83000 |time 15:53 rem 750:14
iter  42000 |loss   0.00 |n_ep  2647 |ep_len   42.8 |ep_rew   0.17 |raw_ep_rew   1.56 |env_step  84000 |time 16:05 rem 750:29
iter  42500 |loss   0.00 |n_ep  2676 |ep_len   33.6 |ep_rew  -0.10 |raw_ep_rew   1.64 |env_step  85000 |time 16:17 rem 750:44
iter  43000 |loss   0.00 |n_ep  2705 |ep_len   39.1 |ep_rew  -0.00 |raw_ep_rew   1.57 |env_step  86000 |time 16:30 rem 751:01
iter  43500 |loss   0.00 |n_ep  2734 |ep_len   33.0 |ep_rew  -0.18 |raw_ep_rew   1.45 |env_step  87000 |time 16:42 rem 751:15
