Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter    500 |loss   0.17 |n_ep   121 |ep_len   25.9 |ep_rew  -0.31 |raw_ep_rew   0.93 |env_step   4000 |time 00:30 rem 1002:14
iter  43000 |loss   0.02 |n_ep  7687 |ep_len   59.9 |ep_rew   0.70 |raw_ep_rew   8.15 |env_step 344000 |time 42:56 rem 955:51
iter  43500 |loss   0.16 |n_ep  7747 |ep_len   63.9 |ep_rew   0.71 |raw_ep_rew   8.25 |env_step 348000 |time 43:26 rem 955:13
iter  44000 |loss  -0.07 |n_ep  7808 |ep_len   71.5 |ep_rew   1.02 |raw_ep_rew   9.80 |env_step 352000 |time 43:56 rem 954:40
iter  44500 |loss  -0.05 |n_ep  7864 |ep_len   61.4 |ep_rew   0.65 |raw_ep_rew   9.48 |env_step 356000 |time 44:25 rem 954:02
iter  45000 |loss   0.05 |n_ep  7927 |ep_len   67.2 |ep_rew   0.96 |raw_ep_rew   8.11 |env_step 360000 |time 44:55 rem 953:27
iter  45500 |loss  -0.01 |n_ep  7988 |ep_len   58.9 |ep_rew   0.77 |raw_ep_rew   9.61 |env_step 364000 |time 45:25 rem 952:51
iter  46000 |loss   0.01 |n_ep  8046 |ep_len   69.5 |ep_rew   0.96 |raw_ep_rew   9.18 |env_step 368000 |time 45:54 rem 952:16
iter  46500 |loss  -0.01 |n_ep  8105 |ep_len   61.8 |ep_rew   0.77 |raw_ep_rew   9.44 |env_step 372000 |time 46:24 rem 951:41
iter  47000 |loss  -0.05 |n_ep  8157 |ep_len   72.1 |ep_rew   1.00 |raw_ep_rew  11.23 |env_step 376000 |time 46:54 rem 951:03
iter  47500 |loss  -0.05 |n_ep  8212 |ep_len   77.7 |ep_rew   1.26 |raw_ep_rew  11.41 |env_step 380000 |time 47:23 rem 950:26
iter  48000 |loss   0.06 |n_ep  8272 |ep_len   66.7 |ep_rew   0.84 |raw_ep_rew   9.98 |env_step 384000 |time 47:53 rem 949:52
iter  48500 |loss  -0.06 |n_ep  8337 |ep_len   66.8 |ep_rew   0.99 |raw_ep_rew   9.64 |env_step 388000 |time 48:23 rem 949:18
iter  49000 |loss   0.13 |n_ep  8387 |ep_len   80.7 |ep_rew   1.37 |raw_ep_rew  10.36 |env_step 392000 |time 48:52 rem 948:41
iter  49500 |loss   0.04 |n_ep  8440 |ep_len   62.4 |ep_rew   0.81 |raw_ep_rew  10.54 |env_step 396000 |time 49:22 rem 948:05
iter  50000 |loss   0.04 |n_ep  8496 |ep_len   72.3 |ep_rew   0.88 |raw_ep_rew  10.68 |env_step 400000 |time 49:52 rem 947:30
iter  50500 |loss  -0.00 |n_ep  8552 |ep_len   72.3 |ep_rew   1.04 |raw_ep_rew  10.22 |env_step 404000 |time 50:21 rem 946:56
iter  51000 |loss   0.04 |n_ep  8604 |ep_len   77.8 |ep_rew   1.21 |raw_ep_rew  10.22 |env_step 408000 |time 50:51 rem 946:20
iter  51500 |loss  -0.16 |n_ep  8655 |ep_len   78.8 |ep_rew   1.12 |raw_ep_rew  12.44 |env_step 412000 |time 51:21 rem 945:44
iter  52000 |loss  -0.13 |n_ep  8702 |ep_len   91.5 |ep_rew   1.56 |raw_ep_rew  11.64 |env_step 416000 |time 51:50 rem 945:09
iter  52500 |loss  -0.13 |n_ep  8752 |ep_len   74.7 |ep_rew   1.16 |raw_ep_rew  12.88 |env_step 420000 |time 52:20 rem 944:35
iter  53000 |loss   0.06 |n_ep  8802 |ep_len   85.0 |ep_rew   1.43 |raw_ep_rew  11.74 |env_step 424000 |time 52:49 rem 943:59
iter  53500 |loss   0.07 |n_ep  8849 |ep_len   95.0 |ep_rew   1.48 |raw_ep_rew  11.16 |env_step 428000 |time 53:19 rem 943:23
